"Day of Month",member_casual,Average_ride
5,member,00:20:19
20,member,00:21:01
19,member,00:21:31
9,member,00:21:15
3,member,00:22:44
2,member,00:21:18
23,member,00:21:47
30,member,00:21:34
29,member,00:20:56
18,member,00:22:00
6,member,00:20:01
21,member,00:21:01
24,member,00:21:18
4,member,00:23:05
14,member,00:20:29
1,member,00:21:38
15,member,00:21:01
17,member,00:22:24
16,member,00:21:32
28,member,00:20:18
22,member,00:21:24
13,member,00:20:53
17,casual,00:40:42
27,member,00:21:19
12,member,00:21:20
8,member,00:20:57
11,member,00:21:11
7,member,00:20:26
26,member,00:20:34
10,casual,00:41:54
25,member,00:21:26
10,member,00:21:01
12,casual,00:43:10
25,casual,00:43:26
9,casual,00:42:54
23,casual,00:42:20
24,casual,00:43:20
18,casual,00:43:19
19,casual,00:43:52
22,casual,00:39:57
3,casual,00:46:40
20,casual,00:39:49
2,casual,00:42:40
7,casual,00:36:46
21,casual,00:39:16
29,casual,00:40:03
30,casual,00:41:59
15,casual,00:39:20
5,casual,00:38:18
4,casual,00:47:09
14,casual,00:39:06
13,casual,00:40:36
16,casual,00:39:37
28,casual,00:37:14
1,casual,00:42:44
6,casual,00:37:05
26,casual,00:38:30
8,casual,00:41:02
27,casual,00:43:18
11,casual,00:38:39
31,member,00:20:54
31,casual,00:40:03
